Unnamed: 0,datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude ,color
61719,7/4/2000 21:45,conyers,ga,us,light,10,5-10 seconds,Simple unmoving red light close to the moon that simply disappeared.,8/19/2000,33.6675000,-84.0177778,red
61720,7/4/2000 21:50,tacoma,wa,us,light,1200,20.min,7/4/00 red light in tacoma wa,7/11/2000,47.2530556,-122.4430556,red
61722,7/4/2000 22:00,tacoma,wa,us,circle,900,15 min,bright red and stayed stationery for sometime,7/11/2000,47.2530556,-122.4430556,red
61724,7/4/2000 22:15,puyallup,wa,us,circle,600,8-10 minutes,red ball streaks across the sky,7/11/2000,47.1855556,-122.2916667,red
61725,7/4/2000 22:15,riverview,fl,us,circle,300,<5 minutes,Similar orange lights viewed simultaneously by people in two states in two time zones&#44 (IA and FL).,7/23/2000,27.8658333,-82.3266667,orange
61726,7/4/2000 22:25,tacoma,wa,us,light,300,5 minutes,bright red light hovering above the clouds&#44 then accelerating away.,7/11/2000,47.2530556,-122.4430556,red
61727,7/4/2000 22:30,houston,tx,us,fireball,1200,20 min.,two beautiful bright red fire like balls&#44 but really shape like footballs&#44 just standing still for about twenty min.&#44 then just gone&#33&#33,2/18/2001,29.7630556,-95.3630556,red
61728,7/4/2000 22:30,tacoma,wa,us,light,900,10 - 15 min,Absolutely stationary red light for 10 - 15 minutes&#44 then abruptly took off towards the South.,7/11/2000,47.2530556,-122.4430556,red
61729,7/4/2000 22:30,tacoma,wa,us,other,300,5.minets,7-4-00@ 10:30 pm my wife and three others sowe large craft over MT Ranier very bright redish orange lite,2/14/2006,47.2530556,-122.4430556,orange
61731,7/4/2000 23:00,toledo,oh,us,triangle,1200,20 minutes,A white triangle formation was seen along northern Ohio toll road.,12/9/2003,41.6638889,-83.5552778,white
61734,7/4/2001 00:00,hatyai&#44 songkhla (thailand),,,chevron,5,5 seconds,green bright light &#44high luminescence &#44flew from east to west,7/16/2006,7.189766,100.595381,green
